custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip
3D17C32,F2BEAFF,WAZTTOCK COMPANY OF CANADA CORP                                  ,PO BOX 28849                                                 ,                                                             ,                                                             ,US     ,JACKSONVILLE                       ,United States                                                ,FL                           ,32226-8849 
C6C7C52,7322954,ZWUFT MECHANICAL SERVICES                                        ,19-320 HANLAN RD                                             ,                                                             ,                                                             ,CA     ,WOODBRIDGE                         ,Canada                                                       ,ON                           ,L4L 3T4    
5F58DF4,34A1B86,C G PLUMBING & HAETUMG LTD                                       ,360 LACASSE AVENUE                                           ,                                                             ,                                                             ,CA     ,OTTAWA                             ,Canada                                                       ,ONTARIO                      ,K1L 7A9    
D709A13,0F805D9,ZYMPUCET DE LA COBTOBTUATA ZYNBHOMUE 11E                          ,C/O SOLUTION CONDO                                           ,5160 BOUL DECARIE SUITE 500                                  ,                                                             ,CA     ,MONTREAL                           ,Canada                                                       ,QC                           ,H3X 2H9    
4769D94,F25986D,NCGUXX UNIVERSITY                                                ,FACILITIES MANAGEMENT - ACCOUNTS PAYABLE                     ,"1010 SHERBROOKE STREET WEST, 11TH FLOOR                      ",                                                             ,CA     ,MONTREAL                           ,Canada                                                       ,QUEBEC                       ,H3A 2R7    
FB79A1B,A721153,BUMZX TATEUX SERVICES                                            ,DDS - CANADA - SEKO TR1 DC                                   ,PO BOX 270099                                                ,                                                             ,US     ,SAINT LOUIS                        ,United States                                                ,MO                           ,63127-0099 
DC85D78,F1D7789,XEKAZHOTA VILLAGE ETTUZTZ CO-OB INC                              ,35 BRADHAM PATH                                              ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M8V 3Z9    
1B211B9,6CFAC0B,PUFFATUM-BAAX CETHOXUC DISTRICT SCHOOL BOETP                     ,St. Augustine SS                                             ,27 Drinkwater Rd.                                            ,                                                             ,CA     ,Brampton                           ,Canada                                                       ,ONTARIO                      ,L6Y 4T6    
1B211B9,DE403B0,PUFFATUM-BAAX CETHOXUC DISTRICT SCHOOL BOETP                     ,St. Basil                                                    ,4235 Golden Orchard Dr.                                      ,                                                             ,CA     ,Mississauga                        ,Canada                                                       ,ONTARIO                      ,L4W 3G1    
1B211B9,D3041F4,PUFFATUM-BAAX CETHOXUC DISTRICT SCHOOL BOETP                     ,ST. VALENTINE SCHOOL                                         ,5610 HEATHERLEIGH AVE                                        ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ON                           ,L5V 2V7    
15D2486,302FF02,BGUZ                                                             ,125 BRODIE ST N                                              ,                                                             ,                                                             ,CA     ,THUNDER BAY                        ,Canada                                                       ,ON                           ,P7C 0A3    
96AF3AE,A0F704B,CITY OF XOMPOM                                                   ,RIVER ROAD GOLF COURSE                                       ,2115 RIVER RD                                                ,                                                             ,CA     ,LONDON                             ,Canada                                                       ,ONTARIO                      ,N5W 6C4    
